Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
0,0,654,13.6,0.63
0.005,0,654,13.6,0.63
0.01,0,654,13.6,0.63
0.015,0,654,13.6,0.63
0.02,0,654,13.6,0.63
0.025,0,654,13.6,0.63
0.03,0,654,13.6,0.63
0.035,0,654,13.6,0.63
0.04,0,654,13.6,0.63
0.045,0,654,13.6,0.63
0.05,0,654,13.6,0.63
0.055,0,654,13.6,0.63
0.06,0,654,13.6,0.63
0.065,0,654,13.6,0.63
0.07,0,654,13.6,0.63
0.075,0,654,13.6,0.63
0.08,0,654,13.6,0.63
0.085,0,654,13.6,0.63
0.09,0,654,13.6,0.63
0.095,0,654,13.6,0.63
0.1,0,654,13.6,0.63
0.105,0,654,13.6,0.63
0.11,0,654,13.6,0.63
0.115,0,654,13.6,0.63
0.12,0,654,13.6,0.63
0.125,0,654,13.6,0.63
0.13,0,654,13.6,0.63
0.135,0,654,13.6,0.63
0.14,0,654,13.6,0.63
0.145,0,654,13.6,0.63
0.15,0,654,13.6,0.63
0.155,0,654,13.6,0.63
0.16,0,654,13.6,0.63
0.165,0,654,13.6,0.63
0.17,0,654,13.6,0.63
0.17500000000000002,0,654,13.6,0.63
0.18,0,654,13.6,0.63
0.185,0,654,13.6,0.63
0.19,0,654,13.6,0.63
0.195,0,654,13.6,0.63
0.2,0,654,13.6,0.63
0.20500000000000002,0,654,13.6,0.63
0.21,0,654,13.6,0.63
0.215,0,654,13.6,0.63
0.22,0,654,13.6,0.63
0.225,0,654,13.6,0.63
0.23,0,654,13.6,0.63
0.23500000000000001,0,654,13.6,0.63
0.24,0,654,13.6,0.63
0.245,0,654,13.6,0.63
0.25,0,654,13.6,0.63
0.255,0,654,13.6,0.63
0.26,0,654,13.6,0.63
0.265,0,654,13.6,0.63
0.27,0,654,13.6,0.63
0.275,0,654,13.6,0.63
0.28,0,654,13.6,0.63
0.28500000000000003,0,654,13.6,0.63
0.29,0,654,13.6,0.63
0.295,0,654,13.6,0.63
0.3,0,654,13.6,0.63
0.305,0,654,13.6,0.63
0.31,0,654,13.6,0.63
0.315,0,654,13.6,0.63
0.32,0,654,13.6,0.63
0.325,0,654,13.6,0.63
0.33,0,654,13.6,0.63
0.335,0,654,13.6,0.63
0.34,0,654,13.6,0.63
0.34500000000000003,0,654,13.6,0.63
0.35000000000000003,0,654,13.6,0.63
0.355,0,654,13.6,0.63
