Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
0,0,1150,17,0.38
0.005,0,1150,17,0.38
0.01,0,1150,17,0.38
0.015,0,1150,17,0.38
0.02,0,1150,17,0.38
0.025,0,1150,17,0.38
0.03,0,1150,17,0.38
0.035,0,1150,17,0.38
0.04,0,1150,17,0.38
0.045,0,1150,17,0.38
0.05,0,1150,17,0.38
0.055,0,1150,17,0.38
0.06,0,1150,17,0.38
0.065,0,1150,17,0.38
0.07,0,1150,17,0.38
0.075,0,1150,17,0.38
0.08,0,1150,17,0.38
0.085,0,1150,17,0.38
0.09,0,1150,17,0.38
0.095,0,1150,17,0.38
0.1,0,1150,17,0.38
0.105,0,1150,17,0.38
0.11,0,1150,17,0.38
0.115,0,1150,17,0.38
0.12,0,1150,17,0.38
0.125,0,1150,17,0.38
0.13,0,1150,17,0.38
0.135,0,1150,17,0.38
0.14,0,1150,17,0.38
0.145,0,1150,17,0.38
0.15,0,1150,17,0.38
0.155,0,1150,17,0.38
0.16,0,1150,17,0.38
0.165,0,1150,17,0.38
0.17,0,1150,17,0.38
0.17500000000000002,0,1150,17,0.38
0.18,0,1150,17,0.38
0.185,0,1150,17,0.38
0.19,0,1150,17,0.38
0.195,0,1150,17,0.38
0.2,0,1150,17,0.38
0.20500000000000002,0,1150,17,0.38
0.21,0,1150,17,0.38
0.215,0,1150,17,0.38
0.22,0,1150,17,0.38
0.225,0,1150,17,0.38
0.23,0,1150,17,0.38
0.23500000000000001,0,1150,17,0.38
0.24,0,1150,17,0.38
0.245,0,1150,17,0.38
0.25,0,1150,17,0.38
0.255,0,1150,17,0.38
0.26,0,1150,17,0.38
0.265,0,1150,17,0.38
0.27,0,1150,17,0.38
0.275,0,1150,17,0.38
0.28,0,1150,17,0.38
0.28500000000000003,0,1150,17,0.38
0.29,0,1150,17,0.38
0.295,0,1150,17,0.38
0.3,0,1150,17,0.38
0.305,0,1150,17,0.38
0.31,0,1150,17,0.38
0.315,0,1150,17,0.38
0.32,0,1150,17,0.38
0.325,0,1150,17,0.38
0.33,0,1150,17,0.38
0.335,0,1150,17,0.38
0.34,0,1150,17,0.38
0.34500000000000003,0,1150,17,0.38
0.35000000000000003,0,1150,17,0.38
0.355,0,1150,17,0.38
0.36,0,1150,17,0.38
0.365,0,1150,17,0.38
0.37,0,1150,17,0.38
0.375,0,1150,17,0.38
0.38,0,1150,17,0.38
0.385,0,1150,17,0.38
0.39,0,1150,17,0.38
0.395,0,1150,17,0.38
0.4,0,1150,17,0.38
0.405,0,1150,17,0.38
0.41000000000000003,0,1150,17,0.38
0.41500000000000004,0,1150,17,0.38
0.42,0,1150,17,0.38
0.425,0,1150,17,0.38
0.43,0,1150,17,0.38
0.435,0,1150,17,0.38
0.44,0,1150,17,0.38
0.445,0,1150,17,0.38
0.45,0,1150,17,0.38
0.455,0,1150,17,0.38
0.46,0,1150,17,0.38
0.465,0,1150,17,0.38
0.47000000000000003,0,1150,17,0.38
0.47500000000000003,0,1150,17,0.38
0.48,0,1150,17,0.38
0.485,0,1150,17,0.38
0.49,0,1150,17,0.38
0.495,0,1150,17,0.38
0.5,0,1150,17,0.38
0.505,0,1150,17,0.38
0.51,0,1150,17,0.38
0.515,0,1150,17,0.38
0.52,0,1150,17,0.38
0.525,0,1150,17,0.38
0.53,0,1150,17,0.38
0.535,0,1150,17,0.38
0.54,0,1150,17,0.38
0.545,0,1150,17,0.38
0.55,0,1150,17,0.38
0.555,0,1150,17,0.38
0.56,0,1150,17,0.38
0.5650000000000001,0,1150,17,0.38
0.5700000000000001,0,1150,17,0.38
0.5750000000000001,0,1150,17,0.38
0.58,0,1150,17,0.38
0.585,0,1150,17,0.38
0.59,0,1150,17,0.38
0.595,0,1150,17,0.38
0.6,0,1150,17,0.38
0.605,0,1150,17,0.38
0.61,0,1150,17,0.38
0.615,0,1150,17,0.38
0.62,0,1150,17,0.38
0.625,0,1150,17,0.38
0.63,0,1150,17,0.38
0.635,0,1150,17,0.38
0.64,0,1150,17,0.38
